Date,BCI,BND,HODL,SGOL,SPLG,SPTI,VEA,VGIT,VTI,VWO
2024-05-01,20.01179313659668,68.80813598632812,19.1299991607666,22.229999542236328,61.198856353759766,26.704349517822266,49.146575927734375,55.53157424926758,256.98785400390625,41.73691177368164
2024-06-01,19.663593292236328,69.4121322631836,16.967500686645508,22.219999313354492,63.15264129638672,26.979690551757812,47.886898040771484,56.08631134033203,263.9641418457031,42.39570617675781
2024-07-01,18.93817901611328,71.04547119140625,18.46500015258789,23.40999984741211,64.08570861816406,27.607215881347656,49.790855407714844,57.41020584106445,269.91094970703125,43.0745964050293
2024-08-01,18.899490356445312,72.07829284667969,16.584999084472656,23.90999984741211,65.63042449951172,27.94513511657715,51.238319396972656,58.08919143676758,275.66424560546875,43.492794036865234
2024-09-01,19.769989013671875,73.02777099609375,17.957500457763672,25.1299991607666,66.8483657836914,28.24726104736328,51.649085998535156,58.737239837646484,280.3976135253906,46.53689956665039
2024-10-01,19.508838653564453,71.24141693115234,19.790000915527344,26.209999084472656,66.4385986328125,27.57512855529785,49.13324737548828,57.33934020996094,279.14691162109375,45.42595672607422
2024-11-01,19.518510818481445,71.98961639404297,27.44499969482422,25.399999618530273,70.42213439941406,27.775291442871094,49.32938766479492,57.735626220703125,297.8507385253906,44.450523376464844
2024-12-01,19.10260581970215,70.55681610107422,26.427499771118164,25.049999237060547,68.4850082397461,27.35378074645996,46.89724349975586,56.908226013183594,287.8680725097656,42.95811080932617
2025-01-01,20.510000228881836,71.42562866210938,28.704999923706055,26.739999771118164,70.57038879394531,27.704204559326172,49.71015167236328,57.597801208496094,297.5539245605469,44.3548698425293
2025-02-01,20.670000076293945,72.72895050048828,23.799999237060547,27.260000228881836,69.66333770751953,28.14849853515625,50.8349494934082,58.506248474121094,291.93365478515625,44.68453598022461
2025-03-01,21.459999084472656,72.75796508789062,23.309999465942383,29.81999969482422,65.5467300415039,28.31346893310547,50.5960578918457,58.84706115722656,273.87713623046875,45.213993072509766
2025-04-01,20.350000381469727,73.02460479736328,26.6299991607666,31.450000762939453,65.19999694824219,28.665409088134766,52.869998931884766,59.58573913574219,272.82000732421875,45.25
2025-05-01,20.770000457763672,71.87999725341797,30.719999313354492,31.65999984741211,68.56999969482422,28.239999771118164,54.900001525878906,58.68000030517578,286.7699890136719,47.709999084472656
