Date,BCI,BND,HODL,SGOL,SPTI,VEA,VGIT,VTI,VWO
2025-03-01,18.441160202026367,70.43441772460938,23.309999465942383,29.81999969482422,27.43815040588379,49.12639617919922,57.01985549926758,271.525634765625,43.98616027832031
2025-04-01,17.487308502197266,70.69255828857422,26.6299991607666,31.450000762939453,27.77920913696289,51.33428955078125,57.735591888427734,270.4775695800781,44.02118682861328
2025-05-01,17.4443416595459,70.21987915039062,29.600000381469727,31.43000030517578,27.552074432373047,53.965576171875,57.269893646240234,287.3910827636719,45.723663330078125
2025-06-01,17.84822654724121,71.27860260009766,30.469999313354492,31.540000915527344,27.880563735961914,55.354034423828125,57.95288848876953,301.3204650878906,48.11685562133789
2025-07-01,17.736513137817383,71.09681701660156,33.040000915527344,31.3799991607666,27.776350021362305,55.02112579345703,57.7056770324707,309.1512756347656,48.587894439697266
2025-08-01,18.088836669921875,71.90909576416016,30.610000610351562,32.939998626708984,28.194122314453125,57.458030700683594,58.589778900146484,316.4203796386719,50.27578353881836
2025-09-01,18.50990867614746,72.7048568725586,32.369998931884766,36.810001373291016,28.275423049926758,58.6422233581543,58.73197555541992,326.3346252441406,52.86128616333008
2025-10-01,19.016910552978516,73.15101623535156,31.030000686645508,38.130001068115234,28.424579620361328,59.9654541015625,59.0684814453125,334.4712829589844,53.91020202636719
2025-11-01,19.601253509521484,73.58165740966797,25.649999618530273,40.189998626708984,28.650224685668945,60.54563903808594,59.5257682800293,335.3587646484375,53.253116607666016
2025-12-01,16.78266143798828,73.12227630615234,24.729999542236328,41.08000183105469,28.484731674194336,61.430667877197266,59.19181823730469,334.3216857910156,52.72352600097656
2026-01-01,21.719999313354492,73.76060485839844,23.700000762939453,46.25,28.654388427734375,66.19999694824219,59.53694152832031,340.57000732421875,56.470001220703125
2026-02-01,21.809999465942383,74.69464874267578,18.549999237060547,50.130001068115234,29.04201316833496,70.23999786376953,60.361907958984375,338.7699890136719,58.099998474121094
2026-03-01,23.969999313354492,73.9800033569336,21.100000381469727,47.619998931884766,28.809999465942383,65.41000366210938,59.880001068115234,330.57000732421875,55.2599983215332
